situation,emotion,source,pleasantness,unpleasantness,attention,effort,self_responsibility,other_responsibility,control,certainty,goal_relevance,urgency,self_control,other_control,responsibility,circumstance
A surprise birthday party was planned for me for the first time by new friends Id just recently met,surprise,envent,5.0,1.0,5.0,2.0,1.0,5.0,,,4.0,5.0,3.0,5.0,,
A time o felt ... is when my mom and friends planned a ... bday party for my 17th bday.,surprise,envent,5.0,1.0,4.0,2.0,1.0,5.0,,,1.0,5.0,4.0,4.0,,
"a tornado came within a couple blocks of my house, but fortunately went past me.",relief,envent,1.0,5.0,5.0,5.0,1.0,1.0,,,4.0,5.0,1.0,1.0,,
"A tradesman thought the wood work I had done was done by an actual joiner, and was really impressed",pride,envent,5.0,1.0,2.0,1.0,1.0,5.0,,,1.0,1.0,1.0,1.0,,
A trip I was really looking forward to was cancelled due to the pandemic as well as financial situations.,sadness,envent,1.0,5.0,5.0,5.0,5.0,1.0,,,2.0,4.0,1.0,1.0,,
a work colleague did not fulfil a task that she was supposed to.,anger,envent,1.0,3.0,3.0,2.0,1.0,5.0,,,1.0,2.0,1.0,5.0,,
"A work colleague told me a secret about another associate, because she ... I wouldn't spread the news around nor would I tell the colleague that I knew. I agreed I would not tell, that she could ... me and I felt pride that she could tell me. I did keep the secret until the colleague the news was about, informed the rest of the workplace of her pregnancy.",trust,envent,3.0,2.0,2.0,2.0,2.0,4.0,,,2.0,4.0,2.0,2.0,,
A worker wanted me to help them in a medical situation.,trust,envent,4.0,1.0,5.0,5.0,4.0,4.0,,,2.0,4.0,4.0,4.0,,
A young man who I witnessed jump into a river was not badly injured,relief,envent,3.0,3.0,4.0,3.0,1.0,5.0,,,2.0,3.0,1.0,3.0,,
aborted my baby,shame,envent,1.0,5.0,5.0,5.0,5.0,2.0,,,5.0,4.0,2.0,2.0,,
"About 8 or 9 years ago I was going to school on a public bus, my brother was getting on the bus after me. There was one open seat but I chose to sit in the seat in front next to someone else because at the time I didn't want to sit next to my brother (I think that was my reasoning at the time). At the time it was fairly awkward - the person I sat next to looked confused, and occasionally I look back on it and feel ... about the whole thing, and ... that I didn't want to sit next to my brother for some reason.",shame,envent,1.0,4.0,3.0,1.0,5.0,1.0,,,1.0,4.0,5.0,2.0,,
Accomplished a goal I had for my running,pride,envent,5.0,1.0,5.0,5.0,5.0,1.0,,,3.0,3.0,5.0,1.0,,
"after 10 years of suffering with migraines, I got diagnosed with IIH which I got medicated for and helped alot",relief,envent,5.0,1.0,1.0,1.0,1.0,5.0,,,5.0,5.0,1.0,1.0,,
After a hard shift,relief,envent,1.0,5.0,3.0,3.0,3.0,3.0,,,3.0,1.0,1.0,1.0,,
after a job interview,relief,envent,2.0,3.0,5.0,2.0,5.0,5.0,,,3.0,4.0,5.0,5.0,,
"after a rough mental health week I talked to my friends and apologized for not being my best self recently (short tempered, a bit disconnected etc.) and they assured me that I had nothing to apologize for and that they did not take it personally. Felt ... about that because I don't want my mental health to interfere with my relatinoships",relief,envent,5.0,1.0,4.0,2.0,5.0,5.0,,,1.0,2.0,5.0,5.0,,
"After being away from my daughter all weekend, walking into my parent's house to see her little happy face running up to me, greeting me, made me feel ....",joy,envent,5.0,2.0,4.0,4.0,5.0,3.0,,,4.0,5.0,4.0,3.0,,
"After being exclusively online, long-distance with my fiance, I finally met him in person and moved in with him.",joy,envent,5.0,1.0,5.0,3.0,5.0,5.0,,,3.0,5.0,4.0,4.0,,
"After convincing my son he would have a good time at bike camp, and shouldnt be nervous.",trust,envent,3.0,2.0,4.0,2.0,3.0,3.0,,,4.0,4.0,3.0,2.0,,
after giving up swimming at age 13 I trained hard for three weeks and at age 18 swam a mile and a half unassisted across a lake.,pride,envent,4.0,3.0,4.0,5.0,5.0,1.0,,,2.0,1.0,4.0,2.0,,
"After going through IVF and finally being pregnant with what should of been my second child, losing the baby when I was 9 weeks pregnant.",sadness,envent,1.0,5.0,3.0,1.0,1.0,1.0,,,5.0,5.0,1.0,1.0,,
"After having my second child, I remember feeling alone and exhausted in her bedroom while caring for her in the night. And feeling ....",sadness,envent,1.0,5.0,5.0,5.0,3.0,5.0,,,4.0,5.0,2.0,4.0,,
"After having watched a horror film, for months after, I was ... to turn off the light on the landing at night and had to ask others to do this instead.",fear,envent,1.0,5.0,3.0,5.0,4.0,4.0,,,1.0,2.0,2.0,5.0,,
"after I got my covid vaccine, I was incredibly tired and spent most of the day in bed",no-emotion,envent,1.0,1.0,1.0,1.0,5.0,5.0,,,1.0,1.0,1.0,1.0,,
"after I graduated from college and started my new full time job, I didn't really do anything on my off days and felt stuck at home waiting to go back to work.",boredom,envent,2.0,4.0,1.0,5.0,4.0,1.0,,,2.0,2.0,2.0,1.0,,
After I had an operation in hospital and had to leave my 3 week old baby with my partner for the hours that I was under general anaesthetic.,trust,envent,2.0,3.0,2.0,4.0,1.0,1.0,,,4.0,3.0,1.0,5.0,,
After I went on a date that I wasnt interested in and he kept trying to talk to me. The spark had gone and when they would message me I just felt ... towards it,no-emotion,envent,3.0,1.0,1.0,4.0,5.0,4.0,,,2.0,1.0,4.0,2.0,,
after my childrenn came home after being discharged from NICU,boredom,envent,3.0,3.0,5.0,4.0,3.0,2.0,,,5.0,4.0,2.0,4.0,,
after several holidays myself to New York I finally got to take my sister and niece who had wanted to go for many years.,joy,envent,5.0,1.0,4.0,4.0,3.0,3.0,,,3.0,3.0,5.0,4.0,,
"After the passing of my dog, he had cancer and was in a lot of pain but he also didn't have to suffer anymore",relief,envent,1.0,5.0,4.0,5.0,1.0,2.0,,,5.0,3.0,1.0,2.0,,
"after waiting for years, fighting the paperwork bureaucracy and continuously being followed and treated poorly and continuously going to see all kinds of specialists, I FINALLY received approval for disability assistance. Prior to this, I was unable to work but had no financial support whatsoever. I had been a graduate student when I first fell ill (and thus already a low-income individual).",relief,envent,5.0,1.0,5.0,5.0,5.0,5.0,,,5.0,1.0,3.0,5.0,,
After weeks of ongoing investigations and evidence gathering I was told that my employees bullying claims were not upheld and I had done nothing wrong.,relief,envent,1.0,5.0,5.0,5.0,1.0,5.0,,,5.0,5.0,3.0,5.0,,
all my friends were going out for my mate's birthday but I had no money to join them,sadness,envent,1.0,5.0,1.0,2.0,4.0,1.0,,,2.0,1.0,2.0,1.0,,
Almost got in a car accident,fear,envent,1.0,3.0,3.0,1.0,1.0,5.0,,,4.0,5.0,1.0,5.0,,
Alone in the house,fear,envent,1.0,5.0,4.0,2.0,1.0,5.0,,,2.0,2.0,1.0,5.0,,
Although I work full time I still have to do all the housework,anger,envent,1.0,1.0,3.0,4.0,1.0,5.0,,,1.0,2.0,2.0,5.0,,
An animal was attacked,disgust,envent,1.0,5.0,3.0,3.0,1.0,5.0,,,3.0,1.0,1.0,4.0,,
an aquaintence I used to be close to lied for financial gain,disgust,envent,2.0,4.0,2.0,1.0,1.0,5.0,,,3.0,3.0,1.0,1.0,,
an area was purposefully left dirty,disgust,envent,1.0,3.0,1.0,1.0,1.0,5.0,,,1.0,3.0,1.0,5.0,,
An art piece I produced was auctioned off for charity and raised a good sum for the cause,pride,envent,5.0,1.0,2.0,3.0,4.0,4.0,,,4.0,1.0,2.0,4.0,,
an essay that I wrote for a class was personally chosen as an example for other students,pride,envent,5.0,1.0,5.0,3.0,4.0,4.0,,,3.0,3.0,1.0,5.0,,
an ex friend of mine called me overweight and ugly,anger,envent,1.0,5.0,4.0,5.0,2.0,5.0,,,4.0,5.0,2.0,5.0,,
"An example of ... for me was in related to my education. Prior to undergrad, I had been severely behind and informed my teacher that I would need a tutor. I wanted to get one as I had an opportunity to secure one before school began, and it would be very hard for me to find one after school begun. I also knew this would be a financial investment. My teacher told me that she assured me that I would not need a tutor and she would provide all the extra help I needed. I was hesitant at first, considering she had hundreds of other students to help, but in the end, I took her advice and did not get a tutor. That class was amazing. She managed to catch me up completely wherever I needed it and dedicated lots of time for me after school. This was a time where I took a risk and ... my teacher, and this ... payed off.",trust,envent,5.0,2.0,5.0,4.0,4.0,5.0,,,4.0,5.0,5.0,4.0,,
an I learned an acquaintance was suffering from alcoholism,sadness,envent,1.0,3.0,3.0,2.0,1.0,5.0,,,2.0,1.0,1.0,3.0,,
An important meeting went well,relief,envent,1.0,5.0,5.0,5.0,1.0,5.0,,,5.0,5.0,3.0,5.0,,
An incompetent mistake by a colleague resulted in me having to redo work which took almost an entire day,anger,envent,1.0,5.0,4.0,3.0,1.0,5.0,,,5.0,5.0,1.0,5.0,,
"An older man was in the wrong lane at a round about. He nearly hit me, I had to slam on and his answer was well move then I didnt hit you, its no big deal!",anger,envent,1.0,5.0,5.0,4.0,1.0,5.0,,,1.0,5.0,3.0,3.0,,
Andrew starts reading his favourite comic book,joy,xenvent,5.0,,2.25,1.25,5.0,1.0,,4.5,2.0,1.0,4.75,1.25,,
another driver had road rage.,fear,envent,1.0,5.0,5.0,5.0,1.0,5.0,,,2.0,5.0,2.0,5.0,,
"Another member of the art co op that I have my art studio in put himself forward for my treasurer role without consulting me until less than a day before. He arranged his friends to vote for him. It was widely acknowledged that I did my role exceptionally well under difficult circumstances (covid and the co op had to relocate/nearly folded during my time). Yet other personalities wanted to have representation on the managing committee based on their friendships, not on the process of the co op. The irony was that I wanted to pass on the role anyway, but doing so in such an abrupt way was irresponsible as well as the obvious deception and disregard for all my hard work. The roles in the co op are all voluntary which makes it even worse that an atmosphere of competition was set up when we could have collaborated and had a nice smooth handover transition period.",anger,envent,1.0,5.0,4.0,5.0,1.0,5.0,,,3.0,4.0,4.0,5.0,,
"another parent at school wrongly accused my child of saying/doing something that he didn't do. This was not the first time, in fact it had gone on for about two years and this time was the final straw. It was time for me to stick up for my child and put a stop to it once and for all. My child was a target i guess, we had concerns over autism/adhd and this parent really took advantage of that. On this occasion, it was a Friday afternoon and the teacher asked to speak with me, so in i went. I knew it was serious as the Deputy head was also there. They explained that my child (year 3) had told a reception kid that his grandad was going to bring a gun to school (now bear in mind that this parent also knows that we (my husband) has a shotgun licence) and that her child was scared. This was also not the first time that she had made reference to my child and guns at school. I sat, i listened and i thought, its not really my childs style. I asked when this was said and i was told it was said over the xbox. I asked if this was by message or speaking on the mic and the teacher confirmed it was over the mic. This is where i knew that this was not right as my child headset was broken and he was unable to talk to people unless he sent a message! The ... rose up inside me. This parent lives right next to the school and when i left i was so ... that i went to confront and started banging on the door (not like me at all). She wasn't in and in hindsight it was probably a good thing she wasn't in! I was so ... that afternoon that i really dont know what i would have done if she answered as ... had just consumed me. I went home and spoke with my child and he completely denied the allegations and i believed him. I was seething all weekend and by the Monday she contacted me and asked if we could sort things out. Long story short, she admitted that it was a case of he said, she said, Ben said and that she had not hear the words come out of his mouth. This was 6 years ago and still to this day i can not forgive all that she put my child through.",anger,envent,1.0,5.0,5.0,5.0,1.0,5.0,,,5.0,5.0,1.0,5.0,,
Any time I leave my child with anyone to babysit her I feel intense mom ... because I feel like I should be the only one to take care of her. Recently she started daycare and it was the worst,guilt,envent,1.0,5.0,2.0,5.0,3.0,2.0,,,2.0,1.0,2.0,3.0,,
"anytime i smell milk. never did like it, but now i have to give it to my baby.",disgust,envent,1.0,5.0,2.0,2.0,5.0,1.0,,,1.0,2.0,3.0,1.0,,
"Approaching a large jump on a horse, I ... the horse to safely get us over it.",trust,envent,5.0,1.0,5.0,3.0,3.0,4.0,,,4.0,5.0,4.0,4.0,,
Arguing with my conspiracy theorist brother about COVID because he refuses to listen to anybody.,anger,envent,1.0,5.0,3.0,5.0,1.0,5.0,,,1.0,1.0,1.0,5.0,,
arguing with my partner because I have tried to shame him for not wanting to quit smoking.,shame,envent,1.0,5.0,4.0,4.0,4.0,4.0,,,4.0,2.0,2.0,4.0,,
Argument with my sister,anger,envent,1.0,5.0,4.0,5.0,2.0,4.0,,,4.0,4.0,2.0,4.0,,
Arsenal won 2 games,relief,envent,5.0,1.0,1.0,1.0,1.0,5.0,,,1.0,1.0,1.0,5.0,,
As a child I let my neighbours dog die after it accidentally shallowed a ball while we were playing as I was scared I would get in trouble with the owner,guilt,envent,1.0,5.0,5.0,3.0,5.0,3.0,,,5.0,5.0,1.0,1.0,,
As a Jew being told to my face that hitler was right and all Jews were rats,disgust,envent,1.0,5.0,5.0,3.0,1.0,5.0,,,5.0,5.0,3.0,5.0,,
As a result of a system failure in work I was unable to carry out any of my tasks,boredom,envent,5.0,5.0,4.0,2.0,1.0,1.0,,,4.0,5.0,1.0,4.0,,
as children my father use to take us to the coast (seaside). My sister was 8 years younger than me and every time we went i use to get myself worked up thinking that my sister would suddenly fall over the side and into the sea. I had an irrational ... of it that turned into a panic any time anyone went too close to the side. It started to invade my dreams and i'd wake up screaming.,fear,envent,1.0,5.0,3.0,4.0,5.0,4.0,,,1.0,3.0,1.0,5.0,,
As I was entering a romantic relationship with a coworker I had known for 10 years. I discovered that the persona they presented at work had hidden or mislead about important elements of who they were. A pleasant ... in this case.,surprise,envent,5.0,1.0,3.0,4.0,1.0,5.0,,,5.0,3.0,2.0,4.0,,
"Asking my fiancé to help with an errand. She immediately said no, citing personal errands she had to run, which included going to one of the places I needed help with the bank.",anger,envent,2.0,5.0,3.0,4.0,2.0,4.0,,,3.0,4.0,3.0,3.0,,
At college studying a course I was disinterested in,boredom,envent,2.0,4.0,4.0,5.0,5.0,2.0,,,5.0,4.0,4.0,1.0,,
At my previous job when I felt I had outgrown the role,boredom,envent,1.0,5.0,5.0,5.0,3.0,1.0,,,5.0,1.0,1.0,1.0,,
"At myself when I dropped a tray of partly baked cookies in the oven, causing a huge mess",anger,envent,1.0,5.0,5.0,5.0,4.0,1.0,,,5.0,5.0,4.0,1.0,,
At the attitude/opinion of someone I love regarding politics,disgust,envent,2.0,4.0,3.0,4.0,1.0,5.0,,,2.0,4.0,2.0,4.0,,
at the births of my children.,joy,envent,5.0,1.0,5.0,5.0,3.0,1.0,,,5.0,5.0,4.0,2.0,,
At the end of a long lecture,boredom,envent,3.0,3.0,5.0,3.0,4.0,4.0,,,3.0,3.0,2.0,5.0,,
at the hospital the nurse did not check my temperature correctly - I then had to check it myself,anger,envent,1.0,5.0,5.0,4.0,1.0,5.0,,,5.0,5.0,5.0,5.0,,
At work because i have felt demotivated with work. Things are becoming repetitive as i've been in the same role position and team for 3years,boredom,envent,1.0,5.0,5.0,3.0,4.0,1.0,,,5.0,3.0,3.0,4.0,,
at work because someone contradicted my schedule,anger,envent,1.0,4.0,3.0,1.0,1.0,5.0,,,1.0,2.0,1.0,2.0,,
At work being talked down to.,anger,envent,1.0,5.0,2.0,4.0,1.0,5.0,,,1.0,3.0,1.0,5.0,,
At work by helping others and providing a good experience,pride,envent,4.0,1.0,3.0,2.0,3.0,3.0,,,1.0,3.0,4.0,2.0,,
"at work i made a mistake and my coworker rectified this mistake. their actions caused me to not get into a lot of trouble/ risk being fired. as a result, i really ... my coworker and their integrity.",trust,envent,1.0,5.0,5.0,2.0,5.0,1.0,,,3.0,5.0,2.0,3.0,,
"at work I was told by a coworker that I ""worked too hard"" and then was told by the same coworker later that day that he expected me to have been done already.",anger,envent,1.0,5.0,4.0,5.0,2.0,5.0,,,3.0,2.0,3.0,5.0,,
At work listening to a work colleague make something overly complicated,boredom,envent,2.0,3.0,5.0,5.0,2.0,5.0,,,2.0,3.0,3.0,5.0,,
at work when a stool sample popped the cap and erupted like a volcano,disgust,envent,2.0,4.0,4.0,2.0,1.0,1.0,,,1.0,4.0,2.0,1.0,,
"at work, a process failed and I had to manually enter a long list of data into a web form, this was both ... and frustrating as it took around 30 minutes to complete, was very repetitive and was only necessary because something beyond my control had gone wrong.",boredom,envent,1.0,4.0,4.0,3.0,1.0,1.0,,,1.0,2.0,5.0,1.0,,
"at work, i made an extreme lapse in judgement which led me to fear being fired. however, i was amazed to learn that i was not going to be fired for this event. i have never felt the feeling of ... as strong as this.",relief,envent,5.0,2.0,5.0,5.0,5.0,4.0,,,5.0,1.0,3.0,4.0,,
"At work, my job is far to mind numbing and it does not challenge me.",boredom,envent,2.0,5.0,5.0,5.0,1.0,5.0,,,5.0,1.0,1.0,5.0,,
"at work, where they have had no work for me for the last 2 months",boredom,envent,1.0,4.0,4.0,4.0,1.0,4.0,,,4.0,4.0,4.0,3.0,,
At work. I had no work to do and spent the afternoon on my own with nothing to do.,boredom,envent,1.0,4.0,1.0,1.0,2.0,1.0,,,1.0,1.0,2.0,1.0,,
ate my partner's dinner leftovers,shame,envent,4.0,2.0,1.0,1.0,5.0,3.0,,,2.0,2.0,3.0,1.0,,
attending a work training course,boredom,envent,1.0,5.0,3.0,3.0,1.0,1.0,,,2.0,4.0,3.0,5.0,,
Attending an online university lecture,boredom,envent,2.0,4.0,5.0,5.0,3.0,5.0,,,5.0,2.0,5.0,5.0,,
"Back in high school when I told my friend that I was feeling suicidal. I ... them to be there for me, and ... them when they convinced me to talk to the school psychologist. I regularly confided in them about my problems and always ... them, but particularly then, I ... them as they came with me to see the psych.",trust,envent,2.0,4.0,4.0,4.0,3.0,5.0,,,4.0,4.0,3.0,4.0,,
beacause i was not sure of an outcome of a situation,fear,envent,3.0,3.0,2.0,3.0,2.0,4.0,,,4.0,4.0,3.0,3.0,,
